ntu|sensor|leitura
1|1|253
1|2|264
1|1|244
1|2|255
1|1|250
1|2|256
1|1|247
1|2|253
1|1|257
1|2|261
1|1|254
1|2|253
1|1|253
1|2|256
1|1|254
1|2|265
1|1|266
1|2|264
1|1|255
1|2|247
1|1|243
1|2|255
1|1|265
1|2|257
1|1|252
1|2|256
1|1|246
1|2|265
1|1|247
1|2|253
1|1|256
1|2|268
1|1|251
1|2|246
1|1|262
1|2|257
1|1|244
1|2|268
1|1|252
1|2|252
1|1|253
1|2|259
1|1|250
1|2|267
1|1|239
1|2|262
1|1|260
1|2|261
1|1|243
1|2|268
1|1|251
1|2|253
1|1|248
1|2|281
1|1|233
1|2|266
1|1|261
1|2|260
1|1|255
1|2|262
1|1|258
1|2|258
1|1|266
1|2|260
1|1|243
1|2|265
1|1|237
1|2|257
1|1|264
1|2|276
1|1|258
1|2|253
1|1|241
1|2|252
1|1|250
1|2|257
1|1|270
1|2|257
1|1|284
1|2|255
1|1|241
1|2|267
1|1|268
1|2|253
1|1|260
1|2|262
1|1|283
1|2|259
1|1|248
1|2|246
1|1|241
1|2|255
1|1|251
1|2|261
1|1|275
1|2|266
1|1|275
1|2|260
1|1|255
1|2|250
1|1|256
1|2|253
1|1|260
1|2|254
1|1|262
1|2|256
1|1|247
1|2|241
1|1|244
1|2|258
1|1|217
1|2|280
1|1|258
1|2|250
1|1|244
1|2|261
1|1|247
1|2|268
1|1|258
1|2|262
1|1|250
1|2|254
1|1|271
1|2|261
1|1|256
1|2|257
1|1|253
1|2|272
1|1|262
1|2|278
1|1|244
1|2|258
1|1|245
1|2|250
1|1|255
1|2|252
1|1|280
1|2|262
1|1|245
1|2|259
1|1|250
1|2|251
1|1|276
1|2|258
1|1|245
1|2|255
1|1|242
1|2|265
1|1|257
1|2|259
1|1|242
1|2|269
1|1|281
1|2|259
1|1|242
1|2|253
1|1|245
1|2|264
1|1|260
1|2|269
1|1|250
1|2|264
1|1|247
1|2|259
1|1|267
1|2|255
1|1|245
1|2|261
1|1|242
1|2|244
1|1|269
1|2|250
1|1|257
1|2|255
1|1|262
1|2|246
1|1|242
1|2|259
1|1|236
1|2|256
1|1|297
1|2|264
1|1|243
1|2|279
1|1|257
1|2|260
1|1|269
1|2|260
1|1|248
1|2|269
1|1|250
1|2|267
1|1|259
1|2|261
1|1|252
1|2|273
1|1|241
1|2|250
1|1|246
1|2|262
1|1|253
1|2|247
1|1|255
1|2|261
1|1|240
1|2|256
1|1|246
1|2|255
1|1|244
1|2|255
1|1|255
1|2|250
1|1|250
1|2|259
1|1|260
1|2|254
1|1|257
1|2|258
1|1|248
1|2|255
1|1|256
1|2|261
1|1|243
1|2|259
1|1|253
1|2|262
1|1|283
1|2|261
1|1|257
1|2|263
1|1|241
1|2|259
1|1|246
1|2|249
1|1|268
1|2|257
1|1|252
1|2|256
1|1|269
1|2|261
1|1|237
1|2|250
1|1|246
1|2|262
1|1|257
1|2|255
1|1|260
1|2|259
1|1|242
1|2|250
1|1|241
1|2|256
1|1|263
1|2|261
1|1|239
1|2|264
1|1|245
1|2|250
1|1|244
1|2|246
1|1|247
1|2|271
1|1|250
1|2|264
1|1|255
1|2|265
1|1|270
1|2|255
1|1|256
1|2|282
1|1|249
1|2|254
1|1|263
1|2|258
1|1|240
1|2|250
1|1|236
1|2|253
1|1|247
1|2|250
1|1|238
1|2|250
1|1|242
1|2|259
1|1|263
1|2|257
1|1|255
1|2|255
1|1|285
1|2|263
1|1|264
1|2|259
1|1|249
1|2|267
1|1|252
1|2|262
1|1|250
1|2|242
1|1|271
1|2|265
1|1|238
1|2|262
1|1|264
1|2|257
1|1|248
1|2|264
1|1|247
1|2|257
1|1|248
1|2|255
1|1|242
1|2|251
1|1|262
1|2|262
1|1|254
1|2|258
1|1|251
1|2|276
1|1|269
1|2|257
1|1|253
1|2|246
1|1|249
1|2|266
1|1|249
1|2|267
1|1|257
1|2|280
1|1|262
1|2|274
1|1|251
1|2|275
1|1|237
1|2|264
1|1|245
1|2|247
1|1|241
1|2|254
1|1|296
1|2|253
1|1|247
1|2|259
1|1|262
1|2|254
1|1|253
1|2|262
1|1|285
1|2|276
1|1|265
1|2|264
1|1|248
1|2|285
1|1|243
1|2|264
1|1|259
1|2|257
1|1|256
1|2|248
1|1|255
1|2|241
1|1|245
1|2|269
1|1|252
1|2|262
1|1|236
1|2|259
1|1|262
1|2|255
1|1|246
1|2|269
1|1|248
1|2|257
1|1|245
1|2|250
1|1|244
1|2|257
1|1|255
1|2|258
1|1|248
1|2|255
1|1|257
1|2|259
1|1|241
1|2|258
1|1|250
1|2|263
1|1|237
1|2|250
1|1|278
1|2|258
1|1|245
1|2|269
1|1|261
1|2|258
1|1|248
1|2|262
1|1|254
1|2|255
1|1|255
1|2|263
1|1|230
1|2|252
1|1|273
1|2|262
1|1|236
1|2|257
1|1|250
1|2|269
1|1|250
1|2|269
1|1|253
1|2|263
1|1|260
1|2|263
1|1|269
1|2|268
1|1|255
1|2|270
1|1|253
1|2|259
1|1|257
1|2|259
1|1|238
1|2|264
1|1|245
1|2|257
1|1|252
1|2|255
1|1|252
1|2|257
1|1|261
1|2|257
1|1|258
1|2|260
1|1|262
1|2|252
1|1|261
1|2|262
1|1|246
1|2|263
1|1|236
1|2|263
1|1|249
1|2|255
1|1|244
1|2|262
1|1|262
1|2|271
1|1|257
1|2|264
1|1|252
1|2|291
1|1|245
1|2|257
1|1|250
1|2|254
1|1|248
1|2|260
1|1|248
1|2|272
1|1|264
1|2|267
1|1|252
1|2|261
1|1|262
1|2|253
1|1|259
1|2|253
1|1|252
1|2|256
1|1|265
1|2|259
1|1|279
1|2|258
1|1|248
1|2|264
1|1|249
1|2|263
1|1|254
1|2|260
1|1|240
1|2|260
1|1|292
1|2|251
1|1|262
1|2|253
1|1|258
1|2|260
1|1|239
1|2|241
1|1|264
1|2|257
1|1|313
1|2|268
1|1|266
1|2|257
1|1|260
1|2|272
1|1|250
1|2|262
1|1|244
1|2|259
1|1|248
1|2|254
1|1|240
1|2|266
1|1|248
1|2|256
1|1|248
1|2|252
1|1|249
1|2|260
1|1|249
1|2|276
1|1|260
1|2|264
1|1|257
1|2|268
1|1|254
1|2|260
1|1|253
1|2|257
1|1|249
1|2|258
1|1|262
1|2|250
1|1|252
1|2|260
1|1|263
1|2|250
1|1|239
1|2|264
1|1|247
1|2|259
1|1|275
1|2|260
1|1|244
1|2|247
1|1|273
1|2|266
1|1|234
1|2|260
1|1|262
1|2|250
1|1|267
1|2|264
1|1|252
1|2|260
1|1|254
1|2|273
1|1|302
1|2|243
1|1|265
1|2|262
1|1|228
1|2|250
1|1|255
1|2|250
1|1|254
1|2|252
1|1|260
1|2|260
1|1|241
1|2|255
1|1|252
1|2|262
1|1|247
1|2|257
1|1|251
1|2|247
1|1|247
1|2|257
1|1|234
1|2|257
1|1|254
1|2|262
1|1|257
1|2|252
1|1|251
1|2|258
1|1|270
1|2|249
1|1|247
1|2|253
1|1|246
1|2|248
1|1|249
1|2|254
1|1|250
1|2|271
1|1|240
1|2|248
1|1|240
1|2|259
1|1|249
1|2|255
1|1|291
1|2|257
1|1|274
1|2|252
1|1|236
1|2|257
1|1|253
1|2|264
1|1|252
1|2|252
1|1|264
1|2|282
1|1|246
1|2|255
1|1|264
1|2|264
1|1|244
1|2|254
1|1|266
1|2|262
1|1|262
1|2|251
1|1|257
1|2|257
1|1|250
1|2|260
1|1|253
1|2|261
1|1|250
1|2|260
1|1|252
1|2|255
1|1|250
1|2|271
1|1|245
1|2|258
1|1|247
1|2|264
1|1|280
1|2|253
1|1|259
1|2|267
1|1|245
1|2|256
1|1|241
1|2|261
1|1|239
1|2|241
1|1|263
1|2|255
1|1|247
1|2|245
1|1|245
1|2|268
1|1|251
1|2|280
1|1|248
1|2|264
1|1|253
1|2|264
1|1|258
1|2|259
1|1|249
1|2|247
1|1|249
1|2|252
1|1|260
1|2|264
1|1|249
1|2|259
1|1|281
1|2|262
1|1|228
1|2|260
1|1|251
1|2|255
1|1|250
1|2|262
1|1|242
1|2|248
1|1|258
1|2|262
1|1|247
1|2|259
1|1|271
1|2|266
1|1|243
1|2|257
1|1|246
1|2|263
1|1|247
1|2|264
1|1|245
1|2|252
1|1|268
1|2|249
1|1|246
1|2|254
1|1|267
1|2|262
1|1|253
1|2|255
1|1|283
1|2|264
1|1|260
1|2|245
1|1|258
1|2|261
1|1|282
1|2|249
1|1|274
1|2|259
1|1|262
1|2|262
1|1|251
1|2|258
1|1|245
1|2|256
1|1|259
1|2|259
1|1|252
1|2|266
1|1|252
1|2|250
1|1|262
1|2|262
1|1|266
1|2|251
1|1|260
1|2|267
1|1|249
1|2|263
1|1|247
1|2|269
1|1|245
1|2|259
1|1|255
1|2|248
1|1|255
1|2|258
1|1|248
1|2|252
1|1|250
1|2|266
1|1|248
1|2|264
1|1|278
1|2|263
1|1|257
1|2|252
1|1|265
1|2|265
1|1|258
1|2|263
1|1|255
1|2|267
1|1|264
1|2|257
1|1|238
1|2|257
1|1|249
1|2|259
1|1|278
1|2|251
1|1|247
1|2|246
1|1|241
1|2|281
1|1|250
1|2|261
1|1|253
1|2|250
1|1|263
1|2|246
1|1|266
1|2|257
1|1|245
1|2|262
1|1|238
1|2|260
1|1|279
1|2|255
1|1|254
1|2|260
1|1|240
1|2|246
1|1|252
1|2|264
1|1|308
1|2|255
1|1|260
1|2|266
1|1|256
1|2|270
1|1|250
1|2|264
1|1|258
1|2|261
1|1|248
1|2|249
1|1|244
1|2|258
1|1|275
1|2|246
1|1|248
1|2|269
1|1|246
1|2|261
1|1|250
1|2|258
1|1|248
1|2|264
1|1|243
1|2|255
1|1|268
1|2|256
1|1|258
1|2|262
1|1|256
1|2|260
1|1|270
1|2|267
1|1|266
1|2|260
1|1|254
1|2|254
1|1|244
1|2|256
1|1|246
1|2|245
1|1|284
1|2|260
1|1|239
1|2|259
1|1|269
1|2|267
1|1|277
1|2|256
1|1|250
1|2|265
1|1|260
1|2|270
1|1|262
1|2|269
1|1|283
1|2|262
1|1|261
1|2|263
1|1|269
1|2|260
1|1|258
1|2|269
1|1|251
1|2|261
1|1|252
1|2|263
1|1|243
1|2|258
1|1|285
1|2|264
1|1|243
1|2|256
1|1|245
1|2|259
1|1|247
1|2|253
1|1|257
1|2|247
1|1|243
1|2|255
1|1|253
1|2|263
1|1|236
1|2|257
1|1|283
1|2|257
1|1|255
1|2|282
1|1|238
1|2|264
1|1|251
1|2|251
1|1|249
1|2|255
1|1|271
1|2|258
1|1|241
1|2|255
1|1|259
1|2|262
1|1|233
1|2|250
1|1|244
1|2|257
1|1|262
1|2|264
1|1|265
1|2|255
1|1|247
1|2|262
1|1|263
1|2|270
1|1|260
1|2|265
1|1|248
1|2|251
1|1|243
1|2|258
1|1|246
1|2|259
1|1|248
1|2|258
1|1|249
1|2|266
1|1|250
1|2|264
1|1|264
1|2|276
1|1|244
1|2|253
1|1|260
1|2|238
1|1|252
1|2|259
1|1|247
1|2|260
1|1|253
1|2|259
1|1|249
1|2|262
1|1|263
1|2|245
1|1|246
1|2|255
1|1|305
1|2|262
1|1|261
1|2|265
1|1|259
1|2|258
1|1|263
1|2|247
1|1|254
1|2|258
1|1|245
1|2|256
1|1|264
1|2|258
1|1|252
1|2|270
1|1|294
1|2|263
1|1|242
1|2|260
1|1|307
1|2|250
1|1|247
1|2|264
1|1|255
1|2|272
1|1|236
1|2|262
1|1|251
1|2|260
1|1|248
1|2|257
1|1|247
1|2|268
1|1|242
1|2|257
1|1|238
1|2|252
1|1|250
1|2|262
1|1|273
1|2|262
1|1|263
1|2|264
1|1|239
1|2|273
1|1|247
1|2|265
1|1|249
1|2|258
1|1|258
1|2|257
1|1|253
1|2|260
1|1|272
1|2|253
1|1|264
1|2|264
1|1|254
1|2|261
1|1|243
1|2|262
1|1|257
1|2|252
1|1|270
1|2|260
1|1|247
1|2|257
1|1|269
1|2|253
1|1|252
1|2|254
1|1|249
1|2|260
1|1|243
1|2|268
1|1|252
1|2|248
1|1|233
1|2|265
1|1|257
1|2|250
1|1|248
1|2|256
1|1|240
1|2|264
1|1|272
1|2|271
1|1|266
1|2|279
1|1|275
1|2|260
1|1|247
1|2|253
1|1|267
1|2|261
1|1|297
1|2|269
1|1|242
1|2|260
1|1|250
1|2|263
1|1|238
1|2|260
1|1|282
1|2|264
1|1|243
1|2|255
1|1|260
1|2|255
1|1|245
1|2|257
1|1|255
1|2|260
1|1|245
1|2|255
1|1|244
1|2|246
1|1|269
1|2|261
1|1|244
1|2|262
1|1|282
1|2|278
1|1|238
1|2|257
1|1|256
1|2|266
1|1|249
1|2|252
1|1|250
1|2|255
1|1|241
1|2|249
1|1|252
1|2|274
1|1|256
1|2|259
1|1|244
1|2|258
1|1|252
1|2|266
1|1|246
1|2|263
1|1|274
1|2|266
1|1|271
1|2|255
1|1|262
1|2|258
1|1|259
1|2|266
1|1|247
1|2|257
1|1|249
1|2|260
1|1|245
1|2|275
1|1|262
1|2|250
1|1|232
1|2|253
1|1|260
1|2|271
1|1|257
1|2|280
1|1|269
1|2|291
1|1|264
1|2|259
1|1|245
1|2|258
1|1|245
1|2|271
1|1|239
1|2|256
1|1|246
1|2|255
1|1|256
1|2|253
1|1|276
1|2|262
1|1|247
1|2|262
1|1|268
1|2|259
1|1|249
1|2|250
1|1|244
1|2|264
1|1|250
1|2|246
1|1|243
1|2|259
1|1|246
1|2|255
1|1|258
1|2|263
1|1|259
1|2|247
1|1|268
1|2|255
1|1|269
1|2|262
1|1|263
1|2|259
1|1|276
1|2|250
1|1|298
1|2|243
1|1|259
1|2|259
1|1|235
1|2|256
1|1|251
1|2|265
1|1|245
1|2|265
1|1|253
1|2|262
1|1|263
1|2|265
1|1|248
1|2|256
1|1|260
1|2|262
1|1|261
1|2|257
1|1|258
1|2|290
1|1|254
1|2|255
1|1|271
1|2|271
1|1|252
1|2|255
1|1|246
1|2|256
1|1|239
1|2|258
1|1|238
1|2|257
1|1|250
1|2|260
1|1|265
1|2|260
1|1|270
1|2|248
1|1|247
1|2|256
1|1|253
1|2|266
1|1|263
1|2|265
1|1|263
1|2|250
1|1|245
1|2|257
1|1|274
1|2|264
1|1|245
1|2|262
1|1|278
1|2|275
1|1|259
1|2|264
1|1|248
1|2|264
1|1|248
1|2|276
1|1|233
1|2|253
1|1|257
1|2|278
1|1|240
1|2|266
1|1|240
1|2|267
1|1|242
1|2|263
1|1|272
1|2|255
1|1|249
1|2|250
1|1|266
1|2|259
1|1|250
1|2|253
1|1|251
1|2|273
1|1|262
1|2|258
1|1|264
1|2|256
1|1|257
1|2|267
1|1|254
1|2|262
1|1|252
1|2|262
1|1|243
1|2|257
1|1|260
1|2|269
1|1|249
1|2|262
1|1|245
1|2|257
1|1|246
1|2|257
1|1|237
1|2|251
1|1|260
1|2|261
1|1|273
1|2|253
1|1|250
1|2|262
1|1|245
1|2|253
1|1|278
1|2|253
1|1|254
1|2|261
1|1|255
1|2|255
1|1|253
1|2|257
1|1|283
1|2|248
1|1|257
1|2|261
1|1|246
1|2|249
1|1|248
1|2|270
1|1|242
1|2|252
1|1|260
1|2|264
1|1|279
1|2|266
1|1|259
1|2|264
1|1|249
1|2|251
1|1|253
1|2|243
1|1|247
1|2|276
1|1|262
1|2|250
1|1|255
1|2|260
1|1|230
1|2|257
1|1|253
1|2|259
1|1|265
1|2|247
1|1|262
1|2|276
1|1|247
1|2|272
1|1|244
1|2|255
1|1|247
1|2|252
1|1|240
1|2|257
1|1|248
1|2|263
1|1|238
1|2|252
1|1|253
1|2|254
1|1|245
1|2|266
1|1|253
1|2|255
1|1|259
1|2|265
1|1|251
1|2|255
1|1|248
1|2|266
1|1|251
1|2|257
1|1|248
1|2|273
1|1|243
1|2|249
1|1|267
1|2|262
1|1|257
1|2|262
1|1|259
1|2|263
1|1|256
1|2|244
1|1|238
1|2|254
1|1|248
1|2|260
1|1|251
1|2|255
1|1|261
1|2|266
1|1|246
1|2|251
1|1|255
1|2|255
1|1|256
1|2|241
1|1|244
1|2|258
1|1|244
1|2|265
1|1|264
1|2|256
1|1|243
1|2|253
1|1|253
1|2|259
1|1|244
1|2|259
1|1|237
1|2|274
1|1|248
1|2|257
1|1|252
1|2|263
1|1|246
1|2|258
1|1|259
1|2|255
1|1|256
1|2|250
1|1|254
1|2|252
1|1|264
1|2|264
1|1|232
1|2|239
1|1|257
1|2|262
1|1|247
1|2|251
1|1|254
1|2|263
1|1|264
1|2|258
1|1|244
1|2|262
1|1|242
1|2|263
1|1|255
1|2|264
1|1|256
1|2|263
1|1|250
1|2|256
1|1|241
1|2|252
1|1|255
1|2|263
1|1|283
1|2|267
1|1|255
1|2|274
1|1|252
1|2|258
1|1|256
1|2|253
1|1|260
1|2|258
1|1|271
1|2|257
1|1|250
1|2|254
1|1|256
1|2|265
1|1|282
1|2|257
1|1|262
1|2|262
1|1|247
1|2|261
1|1|246
1|2|257
1|1|282
1|2|260
1|1|250
1|2|262
1|1|256
1|2|255
1|1|238
1|2|262
1|1|249
1|2|271
1|1|252
1|2|263
1|1|272
1|2|276
1|1|243
1|2|262
1|1|249
1|2|250
1|1|261
1|2|262
1|1|240
1|2|255
1|1|253
1|2|259
1|1|256
1|2|254
1|1|257
1|2|259
1|1|257
1|2|258
1|1|252
1|2|269
1|1|242
1|2|257
1|1|282
1|2|248
1|1|246
1|2|257
1|1|251
1|2|264
1|1|246
1|2|250
1|1|245
1|2|282
1|1|243
1|2|261
1|1|247
1|2|256
1|1|254
1|2|268
1|1|248
1|2|264
1|1|255
1|2|262
1|1|268
1|2|264
1|1|245
1|2|269
1|1|255
1|2|239
1|1|262
1|2|262
1|1|244
1|2|262
1|1|240
1|2|264
1|1|252
1|2|256
1|1|260
1|2|277
1|1|259
1|2|262
1|1|252
1|2|275
1|1|275
1|2|264
1|1|242
1|2|265
1|1|252
1|2|264
1|1|257
1|2|255
1|1|278
1|2|265
1|1|266
1|2|257
1|1|262
1|2|253
1|1|278
1|2|258
1|1|252
1|2|268
1|1|259
1|2|268
1|1|246
1|2|256
1|1|259
1|2|250
1|1|247
1|2|263
1|1|245
1|2|253
1|1|250
1|2|250
1|1|250
1|2|250
1|1|267
1|2|252
1|1|244
1|2|252
1|1|258
1|2|257
1|1|248
1|2|262
1|1|279
1|2|260
1|1|278
1|2|258
1|1|247
1|2|258
1|1|254
1|2|250
1|1|240
1|2|247
1|1|250
1|2|248
1|1|245
1|2|250
1|1|262
1|2|259
1|1|240
1|2|252
1|1|254
1|2|266
1|1|254
1|2|269
1|1|253
1|2|263
1|1|269
1|2|269
1|1|245
1|2|252
1|1|252
1|2|262
1|1|255
1|2|258
1|1|242
1|2|261
1|1|276
1|2|262
1|1|274
1|2|262
1|1|266
1|2|266
1|1|250
1|2|257
1|1|260
1|2|258
1|1|252
1|2|277
1|1|248
1|2|273
1|1|260
1|2|261
1|1|250
1|2|256
1|1|247
1|2|246
1|1|249
1|2|271
1|1|241
1|2|260
1|1|271
1|2|263
1|1|240
1|2|262
1|1|247
1|2|260
1|1|264
1|2|255
1|1|292
1|2|262
1|1|251
1|2|248
1|1|270
1|2|258
1|1|245
1|2|262
1|1|259
1|2|270
1|1|284
1|2|261
1|1|242
1|2|255
1|1|255
1|2|264
1|1|245
1|2|260
1|1|252
1|2|266
1|1|249
1|2|253
1|1|250
1|2|257
1|1|245
1|2|274
1|1|258
1|2|262
1|1|256
1|2|258
1|1|267
1|2|265
1|1|265
1|2|254
1|1|248
1|2|250
1|1|265
1|2|257
1|1|294
1|2|267
1|1|269
1|2|257
1|1|241
1|2|255
1|1|253
1|2|257
1|1|252
1|2|256
1|1|246
1|2|259
1|1|242
1|2|262
1|1|244
1|2|254
1|1|251
1|2|261
1|1|251
1|2|258
1|1|260
1|2|261
1|1|260
1|2|245
1|1|265
1|2|250
1|1|271
1|2|264
1|1|250
1|2|261
1|1|257
1|2|266
1|1|243
1|2|260
1|1|278
1|2|260
1|1|244
1|2|255
1|1|239
1|2|265
1|1|248
1|2|269
1|1|271
1|2|254
1|1|264
1|2|257
1|1|260
1|2|262
1|1|252
1|2|269
1|1|258
1|2|253
1|1|245
1|2|262
1|1|285
1|2|255
1|1|237
1|2|259
1|1|267
1|2|248
1|1|255
1|2|266
1|1|249
1|2|280
1|1|246
1|2|262
1|1|230
1|2|267
1|1|254
1|2|264
1|1|260
1|2|254
1|1|235
1|2|257
1|1|245
1|2|276
1|1|259
1|2|259
1|1|243
1|2|259
1|1|259
1|2|260
1|1|259
1|2|274
1|1|245
1|2|264
1|1|242
1|2|262
1|1|251
1|2|262
1|1|249
1|2|258
1|1|252
1|2|257
1|1|244
1|2|257
1|1|259
1|2|258
1|1|261
1|2|247
1|1|264
1|2|257
1|1|252
1|2|262
1|1|278
1|2|288
1|1|249
1|2|260
1|1|260
1|2|264
1|1|264
1|2|250
1|1|248
1|2|258
1|1|240
1|2|261
1|1|261
1|2|265
1|1|254
1|2|246
1|1|255
1|2|252
1|1|270
1|2|257
1|1|242
1|2|259
1|1|262
1|2|294
1|1|269
1|2|272
1|1|253
1|2|250
1|1|252
1|2|257
1|1|250
1|2|259
1|1|265
1|2|263
1|1|267
1|2|262
1|1|260
1|2|263
1|1|235
1|2|252
1|1|240
1|2|257
1|1|289
1|2|267
1|1|245
1|2|257
1|1|241
1|2|250
1|1|270
1|2|257
1|1|258
1|2|259
1|1|254
1|2|262
1|1|273
1|2|265
1|1|243
1|2|252
1|1|252
1|2|266
1|1|247
1|2|245
1|1|248
1|2|257
1|1|243
1|2|260
1|1|250
1|2|266
1|1|253
1|2|274
1|1|248
1|2|252
1|1|255
1|2|254
1|1|259
1|2|260
1|1|274
1|2|271
1|1|250
1|2|250
1|1|262
1|2|273
1|1|243
1|2|254
1|1|266
1|2|264
1|1|243
1|2|249
1|1|269
1|2|260
1|1|263
1|2|268
1|1|256
1|2|262
1|1|246
1|2|254
1|1|239
1|2|259
1|1|249
1|2|253
1|1|240
1|2|260
1|1|241
1|2|262
1|1|283
1|2|278
1|1|275
1|2|261
1|1|278
1|2|267
1|1|247
1|2|248
1|1|257
1|2|257
1|1|252
1|2|263
1|1|260
1|2|280
1|1|249
1|2|255
1|1|257
1|2|252
1|1|253
1|2|265
1|1|248
1|2|260
1|1|250
1|2|269
1|1|259
1|2|262
1|1|251
1|2|261
1|1|257
1|2|258
1|1|253
1|2|269
1|1|261
1|2|261
1|1|248
1|2|270
1|1|259
1|2|264
1|1|243
1|2|257
1|1|234
1|2|274
1|1|250
1|2|264
1|1|276
1|2|261
1|1|278
1|2|248
1|1|258
1|2|256
1|1|244
1|2|262
1|1|250
1|2|257
1|1|267
1|2|250
1|1|265
1|2|255
1|1|266
1|2|273
1|1|255
1|2|267
1|1|246
1|2|281
1|1|242
1|2|266
1|1|274
1|2|251
1|1|251
1|2|258
1|1|238
1|2|258
1|1|252
1|2|258
1|1|242
1|2|273
1|1|255
1|2|252
1|1|275
1|2|262
1|1|243
1|2|288
1|1|265
1|2|262
1|1|252
1|2|264
1|1|270
1|2|260
1|1|252
1|2|262
1|1|253
1|2|257
1|1|245
1|2|256
1|1|263
1|2|256
1|1|243
1|2|253
1|1|254
1|2|254
1|1|269
1|2|267
1|1|263
1|2|265
1|1|251
1|2|261
1|1|252
1|2|255
1|1|249
1|2|266
1|1|248
1|2|289
1|1|256
1|2|252
1|1|250
1|2|254
1|1|245
1|2|251
1|1|259
1|2|255
1|1|254
1|2|261
1|1|246
1|2|262
1|1|241
1|2|245
1|1|266
1|2|260
1|1|244
1|2|255
1|1|257
1|2|249
1|1|263
1|2|264
1|1|251
1|2|262
1|1|250
1|2|257
1|1|246
1|2|254
1|1|247
1|2|257
1|1|260
1|2|246
1|1|255
1|2|257
1|1|240
1|2|265
1|1|248
1|2|272
1|1|242
1|2|255
1|1|242
1|2|264
1|1|243
1|2|255
1|1|244
1|2|267
1|1|252
1|2|255
1|1|235
1|2|263
1|1|248
1|2|260
1|1|230
1|2|269
1|1|252
1|2|272
1|1|276
1|2|278
1|1|256
1|2|268
1|1|244
1|2|252
1|1|250
1|2|267
1|1|254
1|2|261
1|1|255
1|2|260
1|1|257
1|2|260
1|1|265
1|2|256
1|1|237
1|2|269
1|1|243
1|2|250
1|1|255
1|2|262
1|1|252
1|2|252
1|1|260
1|2|251
1|1|245
1|2|264
1|1|249
1|2|255
1|1|236
1|2|266
1|1|242
1|2|248
1|1|263
1|2|270
1|1|235
1|2|243
1|1|278
1|2|262
1|1|244
1|2|268
1|1|248
1|2|264
1|1|272
1|2|259
1|1|244
1|2|270
1|1|259
1|2|259
1|1|248
1|2|258
1|1|259
1|2|270
1|1|284
1|2|256
1|1|259
1|2|280
1|1|245
1|2|256
1|1|261
1|2|283
1|1|257
1|2|252
1|1|258
1|2|257
1|1|262
1|2|264
1|1|244
1|2|260
1|1|252
1|2|256
1|1|278
1|2|262
1|1|257
1|2|267
1|1|264
1|2|259
1|1|248
1|2|262
1|1|236
1|2|252
1|1|272
1|2|263
1|1|254
1|2|261
1|1|271
1|2|252
1|1|265
1|2|276
1|1|279
1|2|274
1|1|260
1|2|260
1|1|247
1|2|253
1|1|251
1|2|251
1|1|251
1|2|246
1|1|242
1|2|273
1|1|252
1|2|261
1|1|258
1|2|264
1|1|251
1|2|269
1|1|244
1|2|255
1|1|256
1|2|252
1|1|262
1|2|263
1|1|244
1|2|255
1|1|257
1|2|258
1|1|261
1|2|278
1|1|238
1|2|245
1|1|246
1|2|264
1|1|241
1|2|266
1|1|264
1|2|259
1|1|251
1|2|252
1|1|246
1|2|256
1|1|246
1|2|263
1|1|255
1|2|257
1|1|255
1|2|269
1|1|240
1|2|265
1|1|248
1|2|254
1|1|245
1|2|256
1|1|249
1|2|247
1|1|259
1|2|257
1|1|252
1|2|255
1|1|255
1|2|250
1|1|239
1|2|257
1|1|249
1|2|258
1|1|248
1|2|275
1|1|244
1|2|260
1|1|262
1|2|274
1|1|259
1|2|261
1|1|237
1|2|262
1|1|249
1|2|266
1|1|243
1|2|258
1|1|245
1|2|260
1|1|238
1|2|254
1|1|247
1|2|264
1|1|253
1|2|276
1|1|241
1|2|245
1|1|251
1|2|266
1|1|252
1|2|255
1|1|245
1|2|264
1|1|286
1|2|276
1|1|251
1|2|259
1|1|243
1|2|259
1|1|244
1|2|262
1|1|269
1|2|264
1|1|256
1|2|277
1|1|215
1|2|262
1|1|245
1|2|254
1|1|243
1|2|254
1|1|244
1|2|253
1|1|251
1|2|254
1|1|247
1|2|253
1|1|264
1|2|274
1|1|267
1|2|258
1|1|256
1|2|259
1|1|247
1|2|260
1|1|249
1|2|271
1|1|252
1|2|263
1|1|239
1|2|250
1|1|250
1|2|262
1|1|250
1|2|259
1|1|269
1|2|269
1|1|246
1|2|264
1|1|262
1|2|272
1|1|250
1|2|274
1|1|254
1|2|259
1|1|253
1|2|257
1|1|244
1|2|241
1|1|252
1|2|255
1|1|264
1|2|264
1|1|251
1|2|267
1|1|246
1|2|262
1|1|263
1|2|266
1|1|247
1|2|257
1|1|264
1|2|281
1|1|268
1|2|260
1|1|245
1|2|255
1|1|257
1|2|260
1|1|267
1|2|260
1|1|255
1|2|255
1|1|269
1|2|258
1|1|257
1|2|271
1|1|261
1|2|264
1|1|259
1|2|264
1|1|250
1|2|263
1|1|273
1|2|255
1|1|261
1|2|269
1|1|249
1|2|255
1|1|245
1|2|272
1|1|267
1|2|258
1|1|255
1|2|278
1|1|246
1|2|257
1|1|283
1|2|256
1|1|239
1|2|258
1|1|254
1|2|265
1|1|259
1|2|248
1|1|250
1|2|255
1|1|246
1|2|257
1|1|262
1|2|257
1|1|289
1|2|255
1|1|268
1|2|253
1|1|257
1|2|259
1|1|252
1|2|264
1|1|274
1|2|266
1|1|248
1|2|257
1|1|249
